Err2D,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
1.289509e+02,3.571429e-01,5.548346e-01,5.464704e-01,2.838371e-01,5.145693e-01,7.168696e-01,7.272111e-01,6.039882e-01,1.749651e-01,6.084398e-01
2.642328e+01,4.285714e-01,6.746351e-01,2.644499e-01,4.967148e-01,4.908849e-01,6.572914e-01,5.335644e-01,6.926590e-01,3.145401e-01,7.696756e-01
1.005851e+02,5.000000e-01,5.778277e-01,4.438911e-01,4.719866e-01,5.858592e-01,8.319347e-01,7.008914e-01,7.453757e-01,4.289718e-01,8.525341e-01
1.746778e+01,5.000000e-01,5.429225e-01,5.138574e-01,5.956278e-01,5.466994e-01,7.674149e-01,5.933233e-01,7.680932e-01,4.289557e-01,8.525460e-01
1.165746e+01,5.714286e-01,5.633941e-01,6.664694e-01,5.992116e-01,4.311481e-01,8.090439e-01,6.682121e-01,6.643075e-01,3.932464e-01,8.254809e-01
1.445958e+01,5.000000e-01,5.427791e-01,7.148743e-01,5.311193e-01,5.256389e-01,8.370964e-01,7.333923e-01,7.003880e-01,1.432355e-01,5.503452e-01
9.849956e+00,5.000000e-01,5.558723e-01,7.192342e-01,5.364950e-01,5.803120e-01,8.857375e-01,7.724699e-01,7.476228e-01,1.433847e-01,5.502881e-01
2.704156e+00,6.428571e-01,4.560204e-01,6.935277e-01,3.975538e-01,5.676993e-01,9.053388e-01,7.245782e-01,7.007013e-01,3.630178e-01,8.004194e-01
4.517028e+00,5.714286e-01,3.552259e-01,7.323310e-01,3.971748e-01,5.682081e-01,9.185859e-01,7.319754e-01,7.994085e-01,2.622874e-01,7.104882e-01
7.328087e+00,7.142857e-01,3.801142e-01,7.147593e-01,5.161442e-01,7.052444e-01,1.645698e-01,1.357456e-01,1.046111e-01,4.495774e-01,8.554933e-01
6.326838e+00,7.142857e-01,4.774485e-01,6.609847e-01,6.513047e-01,8.632222e-01,1.433332e-01,1.122951e-01,1.033465e-01,3.372202e-01,7.771532e-01
1.004682e+01,7.142857e-01,5.055149e-01,6.527487e-01,8.413741e-01,6.452970e-01,1.427183e-01,1.100197e-01,1.062129e-01,1.126207e-01,4.878246e-01
